PROTEIN	SOURCE	LENGTH	UNIPROT_ID	Tm_(C)
Diaminopimelate epimerase 	Escherichia coli	274	P0A6K1	51.01
Phosphopentomutase 	Escherichia coli	407	P0A6K6	58.34
Deoxyribose-phosphate aldolase 	Escherichia coli	259	P0A6L0	46.8
4-hydroxy-tetrahydrodipicolinate synthase 	Escherichia coli	292	P0A6L2	65.34
D-aminoacyl-tRNA deacylase 	Escherichia coli	145	P0A6M4	55.4
Elongation factor G 	Escherichia coli	704	P0A6M8	58.58
Elongation factor P 	Escherichia coli	188	P0A6N4	42.42
Elongation factor P-like protein	Escherichia coli	190	P0A6N8	43.47
Elongation factor Ts 	Escherichia coli	283	P0A6P1	59.69
GTPase Der 	Escherichia coli	490	P0A6P5	60.43
Enolase 	Escherichia coli	432	P0A6P9	49.6
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase 	Escherichia coli	172	P0A6Q3	67.13
3-oxoacyl-[acyl-carrier-protein] synthase 3 	Escherichia coli	317	P0A6R0	45.12
Glycerol-3-phosphate dehydrogenase [NAD	Escherichia coli	339	P0A6S7	50.56
Glucose-6-phosphate isomerase 	Escherichia coli	549	P0A6T1	58.68
Ribosomal RNA small subunit methyltransferase G 	Escherichia coli	207	P0A6U5	46.19
Glucokinase 	Escherichia coli	321	P0A6V8	44.35
Glutamate--cysteine ligase 	Escherichia coli	518	P0A6W9	41.49
Integration host factor subunit alpha 	Escherichia coli	99	P0A6X7	44.57
Integration host factor subunit beta 	Escherichia coli	94	P0A6Y1	42.26
33 kDa chaperonin 	Escherichia coli	292	P0A6Y5	52.87
Chaperone protein DnaK 	Escherichia coli	638	P0A6Y8	47.54
Chaperone protein HtpG 	Escherichia coli	624	P0A6Z3	59.36
Translation initiation factor IF-2	Escherichia coli	890	P0A705	45.99
Translation initiation factor IF-3 [Cleaved into: Translation initiation factor IF-3	Escherichia coli	180	P0A707	48.04
2-dehydro-3-deoxyphosphooctonate aldolase 	Escherichia coli	284	P0A715	46.49
Ribose-phosphate pyrophosphokinase 	Escherichia coli	315	P0A717	43.85
Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase 	Escherichia coli	262	P0A722	59.22
7-methyl-GTP pyrophosphatase 	Escherichia coli	194	P0A729	52.69
Cell division topological specificity factor	Escherichia coli	88	P0A734	69.59
Peptide methionine sulfoxide reductase MsrB 	Escherichia coli	137	P0A746	45.86
Glucosamine-6-phosphate deaminase 	Escherichia coli	266	P0A759	57.72
Oligoribonuclease 	Escherichia coli	181	P0A784	51.03
Aspartate carbamoyltransferase catalytic subunit 	Escherichia coli	311	P0A786	58.86
Pyridoxine 5'-phosphate synthase 	Escherichia coli	243	P0A794	52.43
ATP-dependent 6-phosphofructokinase isozyme 1 	Escherichia coli	320	P0A796	57.36
Phosphoglycerate kinase 	Escherichia coli	387	P0A799	58.01
Polyphosphate kinase 	Escherichia coli	688	P0A7B1	64.94
ATP-dependent protease subunit HslV 	Escherichia coli	176	P0A7B8	54.38
Peptidase E 	Escherichia coli	229	P0A7C6	60.79
Adenylosuccinate synthetase 	Escherichia coli	432	P0A7D4	47.87
Phosphoribosylaminoimidazole-succinocarboxamide synthase 	Escherichia coli	237	P0A7D7	43.09
CTP synthase 	Escherichia coli	545	P0A7E5	48.56
Aspartate carbamoyltransferase regulatory chain	Escherichia coli	153	P0A7F3	63.95
30S ribosome-binding factor 	Escherichia coli	133	P0A7G2	56.57
Recombination protein RecR	Escherichia coli	201	P0A7H6	47.84
Peptide chain release factor RF3 	Escherichia coli	529	P0A7I4	45.99
GTP cyclohydrolase-2 	Escherichia coli	196	P0A7I7	62.0
50S ribosomal protein L10 	Escherichia coli	165	P0A7J3	58.48
50S ribosomal protein L11 	Escherichia coli	142	P0A7J7	59.64
50S ribosomal protein L7/L12 	Escherichia coli	121	P0A7K2	60.16
50S ribosomal protein L19 	Escherichia coli	115	P0A7K6	48.44
50S ribosomal protein L1 	Escherichia coli	234	P0A7L0	60.56
50S ribosomal protein L27 	Escherichia coli	85	P0A7L8	68.71
50S ribosomal protein L28 	Escherichia coli	78	P0A7M2	67.43
50S ribosomal protein L29 	Escherichia coli	63	P0A7M6	69.24
50S ribosomal protein L31 	Escherichia coli	70	P0A7M9	62.51
50S ribosomal protein L33 	Escherichia coli	55	P0A7N9	63.13
50S ribosomal protein L34 	Escherichia coli	46	P0A7P5	67.15
50S ribosomal protein L9 	Escherichia coli	149	P0A7R1	44.61
30S ribosomal protein S10 	Escherichia coli	103	P0A7R5	61.65
30S ribosomal protein S11 	Escherichia coli	129	P0A7R9	61.13
30S ribosomal protein S12 	Escherichia coli	124	P0A7S3	63.11
30S ribosomal protein S13 	Escherichia coli	118	P0A7S9	54.76
30S ribosomal protein S16 	Escherichia coli	82	P0A7T3	65.17
30S ribosomal protein S18 	Escherichia coli	75	P0A7T7	66.96
30S ribosomal protein S19 	Escherichia coli	92	P0A7U3	67.66
30S ribosomal protein S20 	Escherichia coli	87	P0A7U7	64.43
30S ribosomal protein S2 	Escherichia coli	241	P0A7V0	53.49
30S ribosomal protein S3 	Escherichia coli	233	P0A7V3	61.0
30S ribosomal protein S4 	Escherichia coli	206	P0A7V8	65.07
30S ribosomal protein S5 	Escherichia coli	167	P0A7W1	62.79
30S ribosomal protein S8 	Escherichia coli	130	P0A7W7	57.21
30S ribosomal protein S9 	Escherichia coli	130	P0A7X3	61.73
Ribosome maturation factor RimM 	Escherichia coli	182	P0A7X6	54.94
Ribose-5-phosphate isomerase A 	Escherichia coli	219	P0A7Z0	51.3
DNA-directed RNA polymerase subunit alpha 	Escherichia coli	329	P0A7Z4	58.52
Ribosome-recycling factor 	Escherichia coli	185	P0A805	44.35
S-adenosylmethionine synthase 	Escherichia coli	384	P0A817	68.72
L-seryl-tRNA	Escherichia coli	463	P0A821	54.46
Sugar fermentation stimulation protein A	Escherichia coli	234	P0A823	56.9
Serine hydroxymethyltransferase 	Escherichia coli	417	P0A825	64.62
SsrA-binding protein 	Escherichia coli	160	P0A832	63.34
Succinate--CoA ligase [ADP-forming] subunit beta 	Escherichia coli	388	P0A836	50.69
Queuine tRNA-ribosyltransferase 	Escherichia coli	375	P0A847	46.34
Trigger factor 	Escherichia coli	432	P0A850	45.71
Tryptophanase 	Escherichia coli	471	P0A853	57.06
Tol-Pal system protein TolB	Escherichia coli	430	P0A855	55.45
Triosephosphate isomerase 	Escherichia coli	255	P0A858	52.51
Thiol peroxidase 	Escherichia coli	168	P0A862	54.11
Transaldolase A 	Escherichia coli	316	P0A867	55.62
Transaldolase B 	Escherichia coli	317	P0A870	49.5
Tryptophan synthase alpha chain 	Escherichia coli	268	P0A877	48.16
Tryptophan synthase beta chain 	Escherichia coli	397	P0A879	51.78
Sulfur carrier protein TusA 	Escherichia coli	81	P0A890	56.87
RNase adapter protein RapZ	Escherichia coli	284	P0A894	52.45
Probable transcriptional regulatory protein YebC	Escherichia coli	246	P0A8A0	46.34
UPF0149 protein YgfB	Escherichia coli	192	P0A8C4	55.41
UPF0234 protein YajQ	Escherichia coli	163	P0A8E7	45.85
Uracil phosphoribosyltransferase 	Escherichia coli	208	P0A8F0	46.87
NAD(P)H dehydrogenase (quinone)	Escherichia coli	198	P0A8G6	46.21
DNA gyrase inhibitor YacG	Escherichia coli	65	P0A8H8	48.39
UPF0250 protein YbeD	Escherichia coli	87	P0A8J4	48.66
UPF0253 protein YaeP	Escherichia coli	66	P0A8K5	47.06
Serine--tRNA ligase 	Escherichia coli	430	P0A8L1	46.5
Asparagine--tRNA ligase 	Escherichia coli	466	P0A8M0	58.03
Threonine--tRNA ligase 	Escherichia coli	642	P0A8M3	52.27
Lysine--tRNA ligase 	Escherichia coli	505	P0A8N3	45.54
Lysine--tRNA ligase	Escherichia coli	505	P0A8N5	46.21
Probable Fe	Escherichia coli	91	P0A8P3	53.12
Ribosomal protein L11 methyltransferase 	Escherichia coli	293	P0A8T1	54.28
DNA-directed RNA polymerase subunit beta' 	Escherichia coli	1407	P0A8T7	58.03
DNA-directed RNA polymerase subunit beta 	Escherichia coli	1342	P0A8V2	57.66
UPF0304 protein YfbU	Escherichia coli	164	P0A8W8	48.76
Protein YceI	Escherichia coli	191	P0A8X2	63.07
Acyl-CoA thioester hydrolase YciA 	Escherichia coli	132	P0A8Z0	46.32
3-oxoacyl-[acyl-carrier-protein] synthase 1 	Escherichia coli	406	P0A953	47.44
Beta sliding clamp 	Escherichia coli	366	P0A988	49.19
Fructose-1,6-bisphosphatase class 1 	Escherichia coli	332	P0A993	42.44
Ferric uptake regulation protein 	Escherichia coli	148	P0A9A9	53.39
Glyceraldehyde-3-phosphate dehydrogenase A 	Escherichia coli	331	P0A9B2	60.0
Aldose 1-epimerase 	Escherichia coli	346	P0A9C3	46.27
Glutamine synthetase 	Escherichia coli	469	P0A9C5	57.67
Glutathione S-transferase GstA 	Escherichia coli	201	P0A9D2	66.1
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	Escherichia coli	274	P0A9D8	69.43
HTH-type transcriptional regulator CysB 	Escherichia coli	324	P0A9F3	47.53
Isocitrate lyase 	Escherichia coli	434	P0A9G6	46.99
DNA-binding transcriptional dual regulator ModE	Escherichia coli	262	P0A9G8	47.75
Bifunctional chorismate mutase/prephenate dehydratase 	Escherichia coli	386	P0A9J8	42.38
PhoH-like protein	Escherichia coli	346	P0A9K3	59.3
FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase 	Escherichia coli	206	P0A9L3	51.41
Pyrroline-5-carboxylate reductase 	Escherichia coli	269	P0A9L8	68.17
Lon protease 	Escherichia coli	784	P0A9M0	50.07
Hypoxanthine phosphoribosyltransferase 	Escherichia coli	178	P0A9M2	47.05
Xanthine-guanine phosphoribosyltransferase 	Escherichia coli	152	P0A9M5	61.3
Phosphate acetyltransferase 	Escherichia coli	714	P0A9M8	43.0
Pyruvate formate-lyase 1-activating enzyme 	Escherichia coli	246	P0A9N4	43.35
Aerobic respiration control protein ArcA 	Escherichia coli	238	P0A9Q1	58.26
Aldehyde-alcohol dehydrogenase [Includes: Alcohol dehydrogenase 	Escherichia coli	891	P0A9Q7	65.5
Aspartate-semialdehyde dehydrogenase 	Escherichia coli	367	P0A9Q9	59.48
2Fe-2S ferredoxin	Escherichia coli	111	P0A9R4	46.5
Galactitol 1-phosphate 5-dehydrogenase 	Escherichia coli	346	P0A9S3	54.42
D-3-phosphoglycerate dehydrogenase 	Escherichia coli	410	P0A9T0	55.99
Protein tas	Escherichia coli	346	P0A9T4	47.34
Probable ATP-binding protein YbiT	Escherichia coli	530	P0A9U3	46.85
Energy-dependent translational throttle protein EttA 	Escherichia coli	555	P0A9W3	46.58
Protein YrdA	Escherichia coli	184	P0A9W9	49.97
Phosphocarrier protein HPr 	Escherichia coli	85	P0AA04	46.19
50S ribosomal protein L13 	Escherichia coli	142	P0AA10	55.4
DNA-binding dual transcriptional regulator OmpR 	Escherichia coli	239	P0AA16	63.38
Ribosomal small subunit pseudouridine synthase A 	Escherichia coli	231	P0AA43	44.97
Low-affinity putrescine importer PlaP	Escherichia coli	452	P0AA47	52.84
Uncharacterized protein YacC	Escherichia coli	115	P0AA95	65.25
Iron-binding protein IscA 	Escherichia coli	107	P0AAC8	60.95
ATP-dependent zinc metalloprotease FtsH 	Escherichia coli	644	P0AAI3	48.37
3-oxoacyl-[acyl-carrier-protein] synthase 2 	Escherichia coli	413	P0AAI5	65.45
Malonyl CoA-acyl carrier protein transacylase 	Escherichia coli	309	P0AAI9	57.12
Anti-adapter protein IraP	Escherichia coli	86	P0AAN9	46.92
Putative HNH nuclease YajD 	Escherichia coli	115	P0AAQ2	46.43
Uncharacterized protein YbeL	Escherichia coli	160	P0AAT9	65.93
Probable L	Escherichia coli	306	P0AAX8	47.01
Iron uptake system component EfeO	Escherichia coli	375	P0AB24	53.92
Uncharacterized lipoprotein YceB	Escherichia coli	186	P0AB26	59.84
Large ribosomal RNA subunit accumulation protein YceD 	Escherichia coli	173	P0AB28	64.98
Protein YciI	Escherichia coli	98	P0AB55	56.44
NAD(P) transhydrogenase subunit beta	Escherichia coli	462	P0AB67	58.24
Fructose-bisphosphate aldolase class 2 	Escherichia coli	359	P0AB71	49.68
2-amino-3-ketobutyrate coenzyme A ligase 	Escherichia coli	398	P0AB77	54.03
Branched-chain-amino-acid aminotransferase 	Escherichia coli	309	P0AB80	47.75
Adenylosuccinate lyase 	Escherichia coli	456	P0AB89	48.27
Phospho-2-dehydro-3-deoxyheptonate aldolase	Escherichia coli	350	P0AB91	41.66
ATP synthase subunit b 	Escherichia coli	156	P0ABA0	62.53
ATP synthase gamma chain 	Escherichia coli	287	P0ABA6	64.47
ATP synthase subunit alpha 	Escherichia coli	513	P0ABB0	64.79
ATP synthase subunit beta 	Escherichia coli	460	P0ABB4	62.99
Magnesium-transporting ATPase	Escherichia coli	898	P0ABB8	59.65
Modulator of FtsH protease HflC	Escherichia coli	334	P0ABC3	54.67
Modulator of FtsH protease HflK	Escherichia coli	419	P0ABC7	45.41
Bacterioferritin 	Escherichia coli	158	P0ABD3	53.56
DNA-binding transcriptional regulator BolA	Escherichia coli	105	P0ABE2	61.15
Cytidine deaminase 	Escherichia coli	294	P0ABF6	55.6
Citrate synthase 	Escherichia coli	427	P0ABH7	59.22
Cytochrome bo	Escherichia coli	663	P0ABI8	47.86
Cytochrome bd-I ubiquinol oxidase subunit 2 	Escherichia coli	379	P0ABK2	45.72
Purine nucleoside phosphorylase DeoD-type 	Escherichia coli	239	P0ABP8	65.01
Coenzyme A biosynthesis bifunctional protein CoaBC 	Escherichia coli	406	P0ABQ0	46.02
Ribosome-binding ATPase YchF	Escherichia coli	363	P0ABU2	41.29
Tol-Pal system protein TolQ	Escherichia coli	230	P0ABU9	52.77
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC 	Escherichia coli	188	P0ABZ4	56.73
Chaperone SurA 	Escherichia coli	428	P0ABZ6	60.83
Dihydroneopterin aldolase 	Escherichia coli	122	P0AC16	56.55
Fumarate hydratase class I	Escherichia coli	548	P0AC33	45.91
Aspartate ammonia-lyase 	Escherichia coli	478	P0AC38	52.65
Succinate dehydrogenase flavoprotein subunit 	Escherichia coli	588	P0AC41	47.83
Glucose-6-phosphate 1-dehydrogenase 	Escherichia coli	491	P0AC53	56.45
Glutaredoxin 2 	Escherichia coli	215	P0AC59	49.76
Glutaredoxin 3 	Escherichia coli	83	P0AC62	61.64
Glutaredoxin 4 	Escherichia coli	115	P0AC69	54.14
Protein GnsA	Escherichia coli	57	P0AC92	55.5
Uncharacterized GST-like protein YibF	Escherichia coli	202	P0ACA1	48.32
Stringent starvation protein A	Escherichia coli	212	P0ACA3	47.77
Glutathione S-transferase GstB 	Escherichia coli	208	P0ACA7	47.15
Delta-aminolevulinic acid dehydratase 	Escherichia coli	324	P0ACB2	63.55
Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase 	Escherichia coli	456	P0ACC7	45.19
Iron-sulfur cluster assembly scaffold protein IscU 	Escherichia coli	128	P0ACD4	45.7
Purine nucleoside phosphoramidase 	Escherichia coli	119	P0ACE7	48.0
DNA-binding protein HU-alpha 	Escherichia coli	90	P0ACF0	58.22
DNA-binding protein H-NS 	Escherichia coli	137	P0ACF8	43.62
Leucine-responsive regulatory protein	Escherichia coli	164	P0ACJ0	56.84
Putative aga operon transcriptional repressor	Escherichia coli	269	P0ACK2	61.65
Glc operon transcriptional activator 	Escherichia coli	254	P0ACL5	46.85
HTH-type transcriptional repressor PurR 	Escherichia coli	341	P0ACP7	45.6
Transcriptional repressor MprA 	Escherichia coli	176	P0ACR9	45.91
Putative monooxygenase YdhR 	Escherichia coli	101	P0ACX3	69.22
Putative NAD(P)H nitroreductase YdjA	Escherichia coli	183	P0ACY1	45.32
Uncharacterized protein YeaG	Escherichia coli	644	P0ACY3	46.67
Transcriptional regulatory protein CusR	Escherichia coli	227	P0ACZ8	43.71
Ribosome-associated inhibitor A 	Escherichia coli	113	P0AD49	47.95
Inhibitor of vertebrate lysozyme	Escherichia coli	157	P0AD59	50.47
Pyruvate kinase I 	Escherichia coli	470	P0AD61	60.92
Leu/Ile/Val-binding protein 	Escherichia coli	367	P0AD96	64.75
Thioesterase 1/protease 1/lysophospholipase L1 	Escherichia coli	208	P0ADA1	59.74
Murein hydrolase activator NlpD	Escherichia coli	379	P0ADA3	56.71
tRNA-modifying protein YgfZ	Escherichia coli	326	P0ADE8	47.95
Phosphogluconate dehydratase 	Escherichia coli	603	P0ADF6	50.66
Isochorismatase family protein YecD 	Escherichia coli	188	P0ADI7	58.49
UPF0438 protein YifE	Escherichia coli	112	P0ADN2	48.67
5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB	Escherichia coli	238	P0ADP0	46.68
Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase 	Escherichia coli	454	P0ADR8	49.58
Uncharacterized protein YggN	Escherichia coli	239	P0ADS9	54.02
Putative acid--amine ligase YgiC 	Escherichia coli	386	P0ADT5	53.01
Probable quinol monooxygenase YgiN 	Escherichia coli	104	P0ADU2	56.86
Lipopolysaccharide export system protein LptA	Escherichia coli	185	P0ADV1	45.56
Luciferase-like monooxygenase	Escherichia coli	335	P0ADV5	42.33
Uncharacterized protein YhfG	Escherichia coli	55	P0ADX5	56.53
Peptidyl-prolyl cis-trans isomerase D 	Escherichia coli	623	P0ADY1	50.43
50S ribosomal protein L14 	Escherichia coli	123	P0ADY3	69.71
50S ribosomal protein L16 	Escherichia coli	136	P0ADY7	57.35
50S ribosomal protein L23 	Escherichia coli	100	P0ADZ0	67.62
30S ribosomal protein S15 	Escherichia coli	89	P0ADZ4	64.69
Sec translocon accessory complex subunit YajC	Escherichia coli	110	P0ADZ7	57.61
tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ 	Escherichia coli	246	P0AE01	45.92
Multidrug efflux pump subunit AcrA 	Escherichia coli	397	P0AE06	45.73
Alkyl hydroperoxide reductase C 	Escherichia coli	187	P0AE08	62.76
Methionine aminopeptidase 	Escherichia coli	264	P0AE18	48.76
Siroheme synthase [Includes: Uroporphyrinogen-III C-methyltransferase 	Escherichia coli	457	P0AEA8	47.14
RutC family protein YoaB	Escherichia coli	114	P0AEB7	58.56
Succinyl-diaminopimelate desuccinylase 	Escherichia coli	375	P0AED7	57.77
D-galactose-binding periplasmic protein 	Escherichia coli	332	P0AEE5	50.38
Thiol:disulfide interchange protein DsbA	Escherichia coli	208	P0AEG4	64.7
Thiol:disulfide interchange protein DsbC	Escherichia coli	236	P0AEG6	43.83
tRNA-2-methylthio-N	Escherichia coli	474	P0AEI1	45.93
Enoyl-[acyl-carrier-protein] reductase [NADH] FabI 	Escherichia coli	262	P0AEK4	45.32
L-cystine-binding protein TcyJ 	Escherichia coli	266	P0AEM9	57.44
NAD(P)H-flavin reductase	Escherichia coli	233	P0AEN1	46.43
